CATATAN PENGELUARAN;;;;;
Tahun 2019;;;;;
Tanggal : 01 Februari 2019 s/d 28 Februari 2019 ;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;"Pembayaran belanja barang pada bulan Januari 2019 sesuai SK Kepala MAN
1 Rokan Hilir No 62 - 66 Tahun 2018 Tanggal 31 Desember 2018 SPP NO
0004 Tanggal 05 Februari 2019";Rp8.430.000;NON GAJI;2;2019
2;"Pembayaran belanja barang sesuai SPD N0 01 Tanggal 04 Januari 2019 N0
018 Tanggal 15 Januari 2019, N0 020 Tanggal 17 Januari 2019, dan N0 09
Tanggal 09 Januari 2019 SPP N0 010 Tanggal 05 Februari 2019";Rp7.275.800;NON GAJI;2;2019
3;"Pembayaran uang makan PNS Pada bulan Januari 2019 untuk Dra Rahmawati
dkk (11 orang Pegawai)Nomor SPP 0007 Tanggal 06 Februari 2019";Rp8.285.350;GAJI LAINNYA;2;2019
4;"Pembayaran tunjangan Kinerja untuk bulan Januari 2019 untuk Samudin dkk
(3 orang Pegawai) SPP NO 0008 Tanggal 06 Februari 2019";Rp6.685.670;GAJI LAINNYA;2;2019
5;"Pembayaran belanja Modal sesuai SPK NO 01/MA.IR/SPK/2018 Tanggal 23
Januari 2019 BAST NO B-044/Ma.04.18/KU.00.1/01/2018 Tanggal 31 Januari 2019 BAP B-043/Ma.04.18/KU.00.1/01/2019 Tanggal 31 Januari 2019 SPP NO
0006 Tanggal 05 Februari 2019";Rp44.900.908;NON GAJI;2;2019
6;"Pembayaran belanja pegawai Tunjangan Profesi Guru Pada bulan Januari
2019 untuk Dra Rahmawai dkk (7 orang pegawai) sesuai SK Dirjend Pendidikan Islam No: Dj.1/502/2010 Tanggal 08 Agustus 2010 No 1578 Tahun 2013 Tanggal 13 September 2013 SPP";Rp20.985.495;GAJI LAINNYA;2;2019
7;"Penyediaan Uang Persediaan Rupiah Murni Satker MADRASAH ALIYAH
NEGERI BAGAN SIAPI-API KAB. ROKAN HILIR Tahun  2019 SPP NO 03 Tgl 05
Februari 2019";Rp20.100.000;UANG PERSEDIAAN;2;2019
