CATATAN PENGELUARAN;;;;;
Tahun 2017;;;;;
Tanggal : 01 April 2017 s/d 30 April 2017;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;"Pembayaran Belanja Barang Sesuai Dengan SK Kepala MAN Bagansiapiapi
Nomor : 10 Tahun 2017 Tanggal 03 Maret 2017, Nomor SPP : 00030 Tanggal 03 April 2017. pada Satker MAN Bagansiapiapi";Rp16.680.000;NON GAJI;4;2017
2;"Pembayaran Belanja Pegawai Uang Makan PNS Bulan Maret 2017 untuk 14
(Pegawai) An. Muhammad Fuad, M.Pd dkk Nomor SPP : 00034 Tanggal 03 April 2017 Pada Satker MAN Bagansiapiapi.";Rp8.594.200;GAJI LAINNYA;4;2017
3;"Pembayaran Belanja Pegawai Tunjangan Profesi Guru Bulan Maret 2017 An.
Muhamma Fuad, M.Pd dkk sesuai dengan SK Dirjen Pendidikan Islam Nomor
: DJ.I/502/2010 Tanggal 08 Agustus 2010, Nomor : 1578 Tahun 2013 Tanggal
13 September 2013, Nomor S";Rp18.084.400;GAJI LAINNYA;4;2017
4;"Pembayaran Belanja Barang Bulan Januari s/d Maret 2017 sesuai dengan SK
Kepala MAN Bagansiapiapi Nomor : 01 Tahun 2017 Tanggal 02 Januari 2017 Nomor SPP : 00031 Tanggal 03 April 2017 pada Satker MAN Bagansiapiapi.";Rp6.924.750;NON GAJI;4;2017
5;"Penggantian Uang Persediaan untuk keperluan Belanja Barang Nomor SPP :
00033 Tanggal 03 April 2017";Rp4.390.000;GANTI UANG PERSEDIAAN;4;2017
6;"Penggantian Uang Persediaan untuk keperluan Belanja Barang Nomor SPP :
00032 Tanggal 03 April 2017.";Rp9.772.871;GANTI UANG PERSEDIAAN;4;2017
7;"Pembayaran Tunjangan Kinerja Bulan Maret 2017 untuk 4 (Pegawai) An. M.
Syafrijohan, S. Ag dkk Nomor SPP. 00027 tanggal 03 April 2017 pada Satker MAN Bagansiapiapi.";Rp9.002.160;GAJI LAINNYA;4;2017
8;"Pembayaran Belanja Barang Bulan maret 2017 sesuai dengan SK Kepala MAN
Bagansiapiapi Nomor : 229-233/Ma.04.18/Kp.00/12/2016 31 Desember 2016. Nomor SPP. 00026 tanggal 03 april 2017, pada Satker MAN Bagansiapiapi.";Rp8.330.000;NON GAJI;4;2017
