CATATAN PENGELUARAN;;;;;
Tahun 2018;;;;;
Tanggal : 01 Desember 2018 s/d 31 Desember 2018 ;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;"Pembayaran Gaji PNS Pada Bulan Desember 2018 untuk Dra Rahmawati dkk
(12 org pegawai/30 Jiwa) SPP NO 00152 Tanggal 09 November 2018";Rp40.163.200;GAJI INDUK;12;2018
2;"Pembayaran belanja barang sesuai SK NO 83 Tahun 2018 Tanggal 12
November 2018 SPP NO 00196 Tanggal 06 Desember 2018";Rp1.110.000;NON GAJI;12;2018
3;"Pembayaran belanja barang pada bulan Desember 2018 sesuai SK NO 01
Tahun 2018 Tanggal 02 Januari 2018 SPP NO 00198 Tanggal 06 Desember
2018";Rp289.750;NON GAJI;12;2018
4;"Pembayaran belanja barang pada Bulan Desember 2018 sesuai SK NO 03
Tahun 2018 Tanggal 08 Januari 2018 SPP NO 00183 Tanggal 06 Desember
2018";Rp450.000;NON GAJI;12;2018
5;"Pembayaran belanja barang pada bulan November 2018 sesuai SK Kepala
MAN 1 Rokan Hilir No 62-66 Tahun 2017 Tanggal 31 Desember 2017 SPP
NO 00173 Tanggal 03 Desember 2018";Rp8.330.000;NON GAJI;12;2018
6;"Pembayaran belanja barang pada Bulan November 2018 sesuai SK NO 79
Tahun 2018 Tanggal 27 Oktober 2018 SPP NO 00189 Tanggal 03 Desember
2018";Rp300.000;NON GAJI;12;2018
7;"Pembayaran belanja barang Pada Bulan Desember 2018 sesuai SK NO 79
Tahun 2018 Tanggal 27 Oktober 2018 SPP NO 00190 Tanggal 03 Desember
2018";Rp300.000;NON GAJI;12;2018
8;"Pembayaran belanja barang pada Bulan November 2018 sesuai SK NO 03
Tahun 2018 Tanggal 08 Januari 2018 SPP NO 00182 Tanggal 03 Desember
2018";Rp450.000;NON GAJI;12;2018
9;"Pembayaran belanja barang pada Bulan November 2018 sesuai SK NO 04
Tahun 2018 Tanggal 10 Januari 2018 SPP NO 00184 Tanggal 03 Desember
2018";Rp250.000;NON GAJI;12;2018
10;"Pembayaran belanja barang pada Bulan Desember 2018 sesuai SK NO 04
Tahun 2018 Tanggal 10 Januari 2018 SPP NO 00185 Tanggal 03 Desember
2018";Rp250.000;NON GAJI;12;2018
11;"Pembeyaran belanja barang sesuai SPD NO B-404/2018 Tanggal 07
November 2018 SPD NO B-424/2018 Tanggal 24 November 2018 dan  SPD NO B-425/ 2018 Tanggal 24 November 2018 SPP NO 00188 Tanggal 03
Desember 2018";Rp2.780.000;NON GAJI;12;2018
12;"Pembayaran belanja Pegawai ( Tunjangan Profesi Guru PNS) pada Bulan
November 2018 Sesuai SK NO 90 Tahun 2018 Tanggal 01 Desember 2018
SPP no 00174 Tanggal 03 Desember 2018";Rp21.034.945;GAJI LAINNYA;12;2018
13;"Penggantian uang persediaan untuk keperluan belanja barang spp NO
00192 Tanggal 03 Desember 2018";Rp3.743.000;GANTI UANG PERSEDIAAN;12;2018
14;"Penggantian uang Persediaan untuk keperluan Blanja Barang SPP NO 00191
Tanggal 03 Desember 2018";Rp16.257.000;GANTI UANG PERSEDIAAN;12;2018
15;"Pembayaran belanja barang pada bulan April 2018 s/d bulan Oktober 2018
sesuai SK NO 37 Tahun 2018 Tanggal 03 Maret 2018 SPP NO 00216 Tanggal
11 Desember 2018";Rp17.465.000;NON GAJI;12;2018
16;"Pembayaran belanja barang pada bulan Januari 2018 s/d bulan Juni 2018
sesuai SK NO 00217 Tanggal 11 Desember 2018";Rp11.085.000;NON GAJI;12;2018
17;"Pembayaran belanja Pegawai (Tunjangan Tambahan Penghasilan Guru PNS)
pada Bulan Januari 2018 s/d Bulan November 2018 sesuai SK NO 92 Tahun 2018 Tanggal 05 Desember 2018 SPP NO 00199 Tanggal 06 Desember 2018";Rp2.612.500;GAJI LAINNYA;12;2018
18;"Penggantian uang persediaan untuk keperluan belanja barang SPP NO
00203 Tanggal 06 Desember 2018";Rp1.827.000;GANTI UANG PERSEDIAAN;12;2018
19;"penggantian uang persediaan untuk keperluan belanja barang SPP NO
00204 Tanggal 06 Desember 2018";Rp505.000;GANTI UANG PERSEDIAAN;12;2018
20;"Penggantian uang persediaan untuk keperluan belanja barang SPP NO
00205 Tanggal 06 Desember 2018";Rp1.763.750;GANTI UANG PERSEDIAAN;12;2018
21;"Penggantian uang persediaan untuk keperluan belanja barang SPP NO
00202 Tanggal 06 Desember 2018";Rp5.097.500;GANTI UANG PERSEDIAAN;12;2018
22;"Penggantian uang persediaan untuk keperluan belanja barang SPP NO
00206 Tanggal 06 Desember 2018";Rp1.136.250;GANTI UANG PERSEDIAAN;12;2018
23;"Pembayaran belanja Pegawai ( Tunjangan Profesi Guru PNS) pada Bulan
Desember 2018 Sesuai SK NO 90 Tahun 2018 Tanggal 01 Desember 2018
SPP no 00177 Tanggal 06 Desember 2018";Rp21.034.945;GAJI LAINNYA;12;2018
24;"Pembayaran belanja Pegawai (Tunjangan Kinerja PNS Pada Bulan Desember
2018) Untuk Indra S.Sos dkk 4 orang pegawai SPP NO 00179 Tanggal 06
Desember 2018";Rp9.608.010;GAJI LAINNYA;12;2018
25;"Pembayaran belanja barang sesuai SPD NO B-432/2018 Tanggal 28
November 2018 dan SPD NO B-433/2018 Tanggal 28 November 2018 SPP NO 00201 Tanaggal 06 Desember 2018";Rp1.860.000;NON GAJI;12;2018
